image_ID,writer,LeaderboardUsage
1,107,Private
2,47,Private
3,68,Public
4,38,Private
5,87,Public
6,93,Public
7,196,Public
8,11,Private
9,192,Public
10,50,Private
11,100,Private
12,197,Public
13,125,Public
14,18,Private
15,10,Private
16,37,Public
17,43,Private
18,203,Private
19,33,Private
20,42,Public
21,41,Private
22,3,Private
23,149,Public
24,144,Public
25,98,Private
26,84,Private
27,117,Private
28,156,Public
29,28,Private
30,173,Public
31,185,Private
32,175,Private
33,122,Private
34,65,Private
35,167,Private
36,51,Public
37,58,Private
38,70,Public
39,40,Private
40,57,Private
41,77,Public
42,120,Private
43,159,Private
44,110,Public
45,79,Private
46,170,Private
47,127,Private
48,56,Private
49,37,Public
50,17,Public
51,12,Private
52,129,Private
53,21,Private
54,0,Public
55,37,Private
56,177,Public
57,62,Private
58,83,Private
59,75,Private
60,61,Public
61,169,Private
62,157,Public
63,66,Private
64,36,Public
65,34,Private
66,151,Public
67,183,Private
68,143,Public
69,16,Public
70,69,Private
71,30,Private
72,141,Private
73,131,Private
74,187,Private
75,153,Private
76,200,Public
77,89,Private
78,88,Private
79,128,Public
80,52,Public
81,160,Private
82,81,Public
83,35,Public
84,0,Private
85,54,Public
86,45,Private
87,118,Private
88,168,Private
89,193,Private
90,148,Private
91,25,Private
92,22,Private
93,37,Public
94,0,Public
95,53,Public
96,104,Public
97,1,Private
98,37,Public
99,71,Public
100,140,Private
101,15,Private
102,163,Public
103,99,Public
104,106,Private
105,154,Private
106,198,Private
107,176,Private
108,8,Public
109,37,Private
110,37,Public
111,92,Private
112,90,Public
113,5,Public
114,67,Private
115,152,Public
116,102,Private
117,132,Public
118,26,Public
119,181,Private
120,64,Private
121,80,Private
122,137,Private
123,72,Private
124,108,Private
125,195,Private
126,162,Private
127,194,Private
128,189,Public
129,119,Private
130,37,Public
131,124,Public
132,112,Private
133,186,Private
134,86,Private
135,172,Public
136,202,Private
137,155,Private
138,46,Private
139,111,Private
140,124,Public
141,124,Public
142,37,Private
143,191,Public
144,37,Private
145,2,Private
146,14,Private
147,94,Private
148,4,Public
149,161,Private
150,166,Public
151,146,Private
152,103,Private
153,95,Private
154,74,Public
155,9,Private
156,174,Public
157,39,Private
158,60,Public
159,201,Private
160,135,Private
161,37,Public
162,85,Public
163,109,Public
164,24,Public
165,37,Private
166,37,Private
167,43,Private
168,37,Private
169,73,Public
170,13,Private
171,27,Private
172,116,Public
173,180,Private
174,145,Private
175,82,Private
176,182,Private
177,113,Private
178,142,Private
179,49,Public
180,114,Private
181,97,Private
182,121,Public
183,23,Public
184,134,Private
185,164,Private
186,123,Private
187,101,Private
188,179,Public
189,37,Private
190,96,Private
191,91,Private
192,7,Public
193,184,Private
194,20,Private
195,19,Private
196,158,Private
197,76,Private
198,188,Private
199,165,Private
200,29,Private
201,126,Private
202,150,Private
203,199,Private
204,31,Private
205,6,Public
206,115,Private
207,204,Private
208,138,Private
209,130,Public
210,43,Private
211,171,Public
212,0,Private
213,178,Public
214,147,Private
215,44,Private
216,55,Public
217,0,Private
218,136,Public
219,48,Private
220,133,Private
221,63,Private
222,32,Private
223,0,Private
224,78,Private
225,190,Public
226,105,Private
227,37,Private
228,139,Public
